Chapter ID,Order No,Video Name,Video URL
73,1,"Electric current, drift velocity & mobility",https://youtu.be/NlIePLN6rJ4?si=lKUoiRhwtXi6bfJ2
73,2,Ohm's Law and resistors,https://youtu.be/sB7BF9QJwSw?si=0AIZzbBVdd6qgBCw
73,3,Temperature dependence of R and rho,https://youtu.be/2ZVTNy_nUwY?si=O75hjRXmipHZOFdD
73,4,Kirchoff's laws and Wheatstone bridge,https://youtu.be/HOGEvyPOCOA?si=DAycM_PI-UX8xVgP
73,5,Metre bridge and cells,https://youtu.be/wyzl78Mz7AM?si=NCA5mkWLSgAzD4Bg
73,6,Terminal Voltage and measuring devices,https://youtu.be/nEkdgLSvqdI?si=KQfbiTotZyfZ3GlM
78,1,Reflection at Plane & Spherical Surfaces - Part 1,https://www.youtube.com/watch?v=mgr4B4BMULA&list=PLZ9LVTcy9PK0rs1TQ-6Ka5lynvPcEkBJs
78,2,Reflection at Curved Surfaces - Part 2,https://www.youtube.com/watch?v=QK_f1vh07lE&list=PLZ9LVTcy9PK0rs1TQ-6Ka5lynvPcEkBJs
78,3,"Refraction, Snell's Law, Apparent & Real Depth",https://www.youtube.com/watch?v=mRyIJ1UsWIY&list=PLZ9LVTcy9PK0rs1TQ-6Ka5lynvPcEkBJs
78,4,"Refraction, Critical Angle & Total Internal Reflection",https://www.youtube.com/watch?v=ucnD-Bprbx8&list=PLZ9LVTcy9PK0rs1TQ-6Ka5lynvPcEkBJs
78,5,Refraction Through Triangular Prism,https://www.youtube.com/watch?v=e0GnS_VQ3yA&list=PLZ9LVTcy9PK0rs1TQ-6Ka5lynvPcEkBJs
78,6,Refraction at Spherical Surfaces & Lens Maker's Formula,https://www.youtube.com/watch?v=d9PgY0v6EOI&list=PLZ9LVTcy9PK0rs1TQ-6Ka5lynvPcEkBJs
79,1,Introduction to Waves & Basic Concepts,https://www.youtube.com/watch?v=OV4wkSfSbro&list=PLZ9LVTcy9PK3SORTlP6009dDJ5sLdaf8p
79,2,Wavefront & Huygens Principle  Part 1,https://www.youtube.com/watch?v=pXPGQyeUgto&list=PLZ9LVTcy9PK3SORTlP6009dDJ5sLdaf8p
79,3,Wavefront & Huygens Principle  Part 2,https://www.youtube.com/watch?v=9V9NnhKQC4I&list=PLZ9LVTcy9PK3SORTlP6009dDJ5sLdaf8p
79,4,Coherent & Incoherent Sources,https://www.youtube.com/watch?v=fCayjQv_LoU&list=PLZ9LVTcy9PK3SORTlP6009dDJ5sLdaf8p
79,5,Interference of Light Explained,https://www.youtube.com/watch?v=mbxz3rmGa8c&list=PLZ9LVTcy9PK3SORTlP6009dDJ5sLdaf8p
79,6,Young's Double Slit Experiment (YDSE),https://www.youtube.com/watch?v=vMjIfM1N-ec&list=PLZ9LVTcy9PK3SORTlP6009dDJ5sLdaf8p
79,7,Diffraction of Light - Single Slit & Concepts,https://www.youtube.com/watch?v=M7_PcJLicoU&list=PLZ9LVTcy9PK3SORTlP6009dDJ5sLdaf8p
79,8,Polarisation of Light & Its Applications,https://www.youtube.com/watch?v=0Au6MsnQ-dQ&list=PLZ9LVTcy9PK3SORTlP6009dDJ5sLdaf8p
69,1,Introduction to Linear SHM,https://www.youtube.com/watch?v=mW1f5LmW8MI&list=PLZ9LVTcy9PK1nDI-JcPZCaj3U2lkoM4AP
69,2,Equation of SHM,https://www.youtube.com/watch?v=2vGTk-XCIaU&list=PLZ9LVTcy9PK1nDI-JcPZCaj3U2lkoM4AP
69,3,Problems on Equations of SHM,https://www.youtube.com/watch?v=LXkTmXcDz1Y&list=PLZ9LVTcy9PK1nDI-JcPZCaj3U2lkoM4AP
69,4,SHM as Projection of UCM,https://www.youtube.com/watch?v=7D5hPhzK3C0&list=PLZ9LVTcy9PK1nDI-JcPZCaj3U2lkoM4AP
69,5,Energy of SHM,https://www.youtube.com/watch?v=bDAkXowpQ00&list=PLZ9LVTcy9PK1nDI-JcPZCaj3U2lkoM4AP
69,6,Spring Mass System & Combination of Springs,https://www.youtube.com/watch?v=0V4P4X8ETYs&list=PLZ9LVTcy9PK1nDI-JcPZCaj3U2lkoM4AP
69,7,Problems on Time Period,https://www.youtube.com/watch?v=M0VJoQ2Tmpc&list=PLZ9LVTcy9PK1nDI-JcPZCaj3U2lkoM4AP
69,8,Angular SHM,https://www.youtube.com/watch?v=u_IqYNoI1PA&list=PLZ9LVTcy9PK1nDI-JcPZCaj3U2lkoM4AP
70,1,Types and Characteristics,https://www.youtube.com/watch?v=ZeGcAblC-pw&list=PLZ9LVTcy9PK3VadnawOwBXDuAaTDkqEUp
70,2,Generalised Wave Equation,https://www.youtube.com/watch?v=ju8551wdxCg&list=PLZ9LVTcy9PK3VadnawOwBXDuAaTDkqEUp
70,3,Transverse and Longitudinal Waves,https://www.youtube.com/watch?v=vVV0-TMJVgI&list=PLZ9LVTcy9PK3VadnawOwBXDuAaTDkqEUp
70,4,Longitudinal Waves and Laplace Correction,https://www.youtube.com/watch?v=9XUzeatmQb4&list=PLZ9LVTcy9PK3VadnawOwBXDuAaTDkqEUp
